title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
French Foreign Legion,French Foreign Legion,Frank Sinatra,Frank Sinatra: The Complete Capitol Singles Collection,N,4Oz9avF6jbz2emynwgSoCr,1996-01-01,61.0,1959-03-25,1959,1955-1959,7.0,26.0,122.59,122.333,6.0,1.0,0.626,0.32,-13.955,0.0451,0.473,0.0,0.0535,0.725,True,1996
Fried Eggs,Fried Eggs,The Intruders,"Koko-Mojo Diner, Vol. 2 - Cornbread & Cabbage Greens",N,3NwMSgyUmb2fbZoqwiizB1,2021-04-16,73.0,1959-03-18,1959,1955-1959,3.0,1.0,67.868,117.933,4.0,1.0,0.718,0.564,-9.128,0.0608,0.851,0.895,0.0935,0.961,True,2021
Fried Onions,Lord Rockingham's XI Fried Onions,Lord Rockingham's XI,What the Butler Saw,N,4xYniIC8SbgTddXQLTmNnP,2021-04-05,96.0,1958-10-01,1958,1955-1959,1.0,0.0,151.624,108.019,10.0,1.0,0.535,0.673,-14.402,0.084,0.827,0.882,0.166,0.96,True,2021
Frogg,Frogg No. 1,The Brothers Four,Greatest Hits,N,3hJZU6pDU70unNVpThiVM6,1960-07-14,32.0,1961-04-05,1961,1960-1964,5.0,18.0,177.467,161.533,1.0,1.0,0.534,0.298,-16.544,0.123,0.806,1.94e-06,0.116,0.726,True,1960
Furry Murray,Transitions,The Tradewinds,Transitions,N,5MXKZOcqs73QN2QZwC5n4R,2024-08-12,91.0,1959-08-05,1959,1955-1959,2.0,27.0,173.031,111.218,1.0,1.0,0.798,0.74,-7.962,0.446,0.162,0.0014,0.264,0.682,True,2024
Gas Money,Gas Money (Jan & Arnie),Jan & Arnie,Greatest Hits Vol 2. [Audiophile Edition],N,0Tae4MyaQzYlQE73Z4crAu,2023-09-09,81.0,1958-08-13,1958,1955-1959,2.0,1.0,80.806,142.187,5.0,1.0,0.562,0.923,-6.377,0.0372,0.662,6.12e-05,0.33,0.966,True,2023
Gazachstahagen,Wildcats,The Wild-Cats,Motel Music Pt. II,N,5osWCsUjNGwxnXQzjyaYze,2017-03-17,57.0,1958-12-31,1958,1955-1959,8.0,42.0,104.003,194.48,1.0,0.0,0.717,0.861,-7.649,0.058,0.0792,0.773,0.0766,0.0801,True,2017
Gee,Roll Muddy River,George Hamilton IV,"Fort Worth, Dallas or Houston",N,2w9ZPsB6iPGvkReSSPYc7n,1964-11-04,73.0,1959-07-29,1959,1955-1959,7.0,29.0,141.374,145.453,4.0,1.0,0.561,0.491,-10.552,0.0294,0.725,0.0,0.133,0.934,True,1964
"Gee, But It's Lonely","Gee, But It's Lonely",Pat Boone,Pat Boone Sings,N,1x631Q0tVKGGn78ztY4A2x,1958-12-01,31.0,1958-09-17,1958,1955-1959,9.0,7.0,91.933,132.627,7.0,1.0,0.333,0.0725,-15.058,0.0314,0.956,6.79e-06,0.154,0.291,True,1958
Georgia On My Mind,Georgia on My Mind,Ray Charles,True Genius,N,6yMGxqKj0218mFR5KqsMRq,2021-09-10,1.0,1960-09-21,1960,1960-1964,13.0,56.0,94.34,219.56,7.0,1.0,0.19,0.323,-12.405,0.0303,0.626,2.17e-06,0.176,0.281,True,2021
